Country Code,Country Name,Region,Total GDP (million USD),Impacted GDP (in million USD) - 1 meter,Impacted GDP (in million USD) - 2 meter,Impacted GDP (in million USD) - 3 meter,Impacted GDP (in million USD) - 4 meter,Impacted GDP (in million USD) - 5 meter,% of Country GDP Impacted - 1 meter,% of Country GDP Impacted - 2 meter,% of Country GDP Impacted - 3 meter,% of Country GDP Impacted - 4 meter,% of Country GDP Impacted - 5 meter
ARG,Argentina,Latin America / Caribbean,439897,1362,3266,6058,8090,10036,0.31,0.74,1.38,1.84,2.28
BHS,Bahamas,Latin America / Caribbean,4962,235,397,721,927,1406,4.74,8.00,14.53,18.68,28.34
BLZ,Belize,Latin America / Caribbean,1312,27,46,73,104,131,2.06,3.51,5.56,7.93,9.98
BRA,Brazil,Latin America / Caribbean,1233633,7134,12432,15036,21623,30176,0.58,1.01,1.22,1.75,2.45
CHL,Chile,Latin America / Caribbean,135982,113,151,244,301,301,0.08,0.11,0.18,0.22,0.22
COL,Colombia,Latin America / Caribbean,296427,594,1500,2254,3103,3602,0.20,0.51,0.76,1.05,1.22
CRI,Costa Rica,Latin America / Caribbean,38381,43,67,113,149,217,0.11,0.17,0.29,0.39,0.57
CUB,Cuba,Latin America / Caribbean,19200,86,670,809,999,1236,0.45,3.49,4.21,5.20,6.44
DOM,Dominican Republic,Latin America / Caribbean,57877,88,188,317,728,822,0.15,0.32,0.55,1.26,1.42
ECU,Ecuador,Latin America / Caribbean,40046,1065,1356,1751,2241,2798,2.66,3.39,4.37,5.60,6.99
SLV,El Salvador,Latin America / Caribbean,32878,93,100,198,248,323,0.28,0.30,0.60,0.75,0.98
GUF,French Guiana,Latin America / Caribbean,1951,59,60,65,296,298,3.02,3.08,3.33,15.17,15.27
GTM,Guatemala,Latin America / Caribbean,50422,10,16,34,47,94,0.02,0.03,0.07,0.09,0.19
GUY,Guyana,Latin America / Caribbean,3469,161,283,502,702,789,4.64,8.16,14.47,20.24,22.74
HTI,Haiti,Latin America / Caribbean,15299,12,27,46,139,178,0.08,0.18,0.30,0.91,1.16
HND,Honduras,Latin America / Caribbean,18159,15,40,73,143,228,0.08,0.22,0.40,0.79,1.26
JAM,Jamaica,Latin America / Caribbean,9226,62,76,107,152,220,0.67,0.82,1.16,1.65,2.38
MEX,Mexico,Latin America / Caribbean,839150,4565,6991,10813,14222,18605,0.54,0.83,1.29,1.69,2.22
SUR,Suriname,Latin America / Caribbean,1480,95,178,294,337,509,6.42,12.03,19.86,22.77,34.39
NIC,Nicaragua,Latin America / Caribbean,13100,13,40,63,93,123,0.10,0.31,0.48,0.71,0.94
PER,Peru,Latin America / Caribbean,120087,774,844,1240,1597,1631,0.64,0.70,1.03,1.33,1.36
PAN,Panama,Latin America / Caribbean,16653,142,179,285,361,436,0.85,1.07,1.71,2.17,2.62
PRI,Puerto Rico,Latin America / Caribbean,96388,1473,5522,5522,7492,8921,1.53,5.73,5.73,7.77,9.26
URY,Uruguay,Latin America / Caribbean,28887,428,802,924,957,1017,1.48,2.78,3.20,3.31,3.52
VEN,Venezuela,Latin America / Caribbean,134865,1094,1395,2027,2524,2964,0.81,1.03,1.50,1.87,2.20
DZA,Algeria,Middle East / North Africa,186902,976,1140,1210,2059,2196,0.52,0.61,0.65,1.10,1.17
EGY,Egypt,Middle East / North Africa,222186,14301,21198,26952,31223,36214,6.44,9.54,12.13,14.05,16.30
IRN,Iran,Middle East / North Africa,364399,859,1461,2145,2868,3645,0.24,0.40,0.59,0.79,1.00
KWT,Kuwait,Middle East / North Africa,37262,428,632,677,1147,1374,1.15,1.70,1.82,3.08,3.69
LBY,Libya,Middle East / North Africa,45400,696,1016,1094,1215,1299,1.53,2.24,2.41,2.68,2.86
