Country Code,Country Name,Region,Population,Impacted Population - 1 meter,Impacted Population - 2 meter,Impacted Population - 3 meter,Impacted Population - 4 meter,Impacted Population - 5 meter,% of Country Population Impacted - 1 meter,% of Country Population Impacted - 2 meter,% of Country Population Impacted - 3 meter,% of Country Population Impacted - 4 meter,% of Country Population Impacted - 5 meter
ARG,Argentina,Latin America / Caribbean,37032000,199601,425596,664630,944211,1271972,0.54,1.15,1.79,2.55,3.43
BHS,Bahamas,Latin America / Caribbean,304000,13869,20616,32069,54722,89742,4.56,6.78,10.55,18.00,29.52
BLZ,Belize,Latin America / Caribbean,226000,5532,15438,23050,33676,42693,2.45,6.83,10.20,14.90,18.89
BRA,Brazil,Latin America / Caribbean,170406000,1026618,1710273,2692247,3969403,5296660,0.60,1.00,1.58,2.33,3.11
CHL,Chile,Latin America / Caribbean,15211000,39615,49111,59526,71714,71714,0.26,0.32,0.39,0.47,0.47
COL,Colombia,Latin America / Caribbean,42105000,142888,252587,385963,522346,650853,0.34,0.60,0.92,1.24,1.55
CRI,Costa Rica,Latin America / Caribbean,4024000,5152,7696,14387,23440,43917,0.13,0.19,0.36,0.58,1.09
CUB,Cuba,Latin America / Caribbean,11199000,77460,122735,181608,294205,427107,0.69,1.10,1.62,2.63,3.81
DOM,Dominican Republic,Latin America / Caribbean,8373000,27631,60868,91215,133827,189017,0.33,0.73,1.09,1.60,2.26
ECU,Ecuador,Latin America / Caribbean,12646000,137539,229772,327299,483380,660611,1.09,1.82,2.59,3.82,5.22
SLV,El Salvador,Latin America / Caribbean,6278000,9920,14940,23550,36612,56534,0.16,0.24,0.38,0.58,0.90
GUF,French Guiana,Latin America / Caribbean,165000,8940,10041,11796,16764,24304,5.42,6.09,7.15,10.16,14.73
GTM,Guatemala,Latin America / Caribbean,11385000,3133,6909,12823,21690,35277,0.03,0.06,0.11,0.19,0.31
GUY,Guyana,Latin America / Caribbean,761000,47924,112998,195477,267845,319582,6.30,14.85,25.69,35.20,42.00
HTI,Haiti,Latin America / Caribbean,8142000,11830,29042,51304,79873,115836,0.15,0.36,0.63,0.98,1.42
HND,Honduras,Latin America / Caribbean,6417000,7198,17169,27201,42062,62839,0.11,0.27,0.42,0.66,0.98
JAM,Jamaica,Latin America / Caribbean,2576000,24106,36643,55226,81046,105399,0.94,1.42,2.14,3.15,4.09
MEX,Mexico,Latin America / Caribbean,98872000,590895,886704,1310478,1746646,2221226,0.60,0.90,1.33,1.77,2.25
SUR,Suriname,Latin America / Caribbean,417000,29203,75474,127999,185124,232546,7.00,18.10,30.70,44.39,55.77
NIC,Nicaragua,Latin America / Caribbean,5071000,6276,13096,21869,37728,48615,0.12,0.26,0.43,0.74,0.96
PER,Peru,Latin America / Caribbean,25662000,38455,57329,97625,125481,164391,0.15,0.22,0.38,0.49,0.64
PAN,Panama,Latin America / Caribbean,2856000,9924,21554,40422,66661,92329,0.35,0.75,1.42,2.33,3.23
PRI,Puerto Rico,Latin America / Caribbean,3915000,103834,161377,223204,283106,333421,2.65,4.12,5.70,7.23,8.52
URY,Uruguay,Latin America / Caribbean,3337000,82885,113646,140009,173805,201020,2.48,3.41,4.20,5.21,6.02
VEN,Venezuela,Latin America / Caribbean,24170000,235500,338101,453557,596423,745730,0.97,1.40,1.88,2.47,3.09
DZA,Algeria,Middle East / North Africa,30291000,171380,234314,290705,371685,446864,0.57,0.77,0.96,1.23,1.48
EGY,Egypt,Middle East / North Africa,67884000,6296292,8160882,10110653,12017374,14147454,9.28,12.02,14.89,17.70,20.84
IRN,Iran,Middle East / North Africa,70330000,240354,406278,572686,722502,866473,0.34,0.58,0.81,1.03,1.23
KWT,Kuwait,Middle East / North Africa,1914000,11429,16375,22516,27600,39722,0.60,0.86,1.18,1.44,2.08
LBY,Libya,Middle East / North Africa,5290000,156820,202293,250110,290829,334717,2.96,3.82,4.73,5.50,6.33
MAR,Morocco,Middle East / North Africa,29634000,380844,461485,550148,663212,771015,1.29,1.56,1.86,2.24,2.60
OMN,Oman,Middle East / North Africa,2538000,27252,42069,62398,85497,111377,1.07,1.66,2.46,3.37,4.39
QAT,Qatar,Middle East / North Africa,565000,9051,12406,25107,41576,55379,1.60,2.20,4.44,7.36,9.80
SAU,Saudi Arabia,Middle East / North Africa,20346000,403036,602309,841248,1102031,1349536,1.98,2.96,4.13,5.42,6.63
ARE,United Arab Emirates,Middle East / North Africa,2606000,119581,164176,211191,255431,306088,4.59,6.30,8.10,9.80,11.75
TUN,Tunisia,Middle East / North Africa,9459000,462490,566649,663122,772427,899951,4.89,5.99,7.01,8.17,9.51
ESH,Western Sahara,Middle East / North Africa,190000,286,390,760,945,1212,0.15,0.21,0.40,0.50,0.64
YEM,Yemen,Middle East / North Africa,18349000,111983,139481,167523,203497,227928,0.61,0.76,0.91,1.11,1.24
AGO,Angola,Sub-Saharan Africa,13134000,24360,38193,66443,106994,131359,0.19,0.29,0.51,0.81,1.00
BEN,Benin,Sub-Saharan Africa,6272000,246162,343896,436542,610604,766704,3.92,5.48,6.96,9.74,12.22
COG,"Congo, Rep.",Sub-Saharan Africa,3018000,2841,2955,10075,12852,21608,0.09,0.10,0.33,0.43,0.72
