Country Code,Country Name,Region,Total Area (sq. km.),Impacted Urban Extent (in sq. km.) - 1 meter,Impacted Urban Extent (in sq. km.) - 2 meter,Impacted Urban Extent (in sq. km.) - 3 meter,Impacted Urban Extent (in sq. km.) - 4 meter,Impacted Urban Extent (in sq. km.) - 5 meter,% of Country Urban Extent Impacted - 1 meter,% of Country Urban Extent Impacted - 2 meter,% of Country Urban Extent Impacted - 3 meter,% of Country Urban Extent Impacted - 4 meter,% of Country Urban Extent Impacted - 5 meter
ARG,Argentina,Latin America / Caribbean,57351,212,520,971,1293,1802,0.37,0.91,1.69,2.25,3.14
BHS,Bahamas,Latin America / Caribbean,476,19,38,59,114,171,3.99,7.98,12.39,23.95,35.92
BLZ,Belize,Latin America / Caribbean,517,7,25,41,66,90,1.35,4.84,7.93,12.77,17.41
BRA,Brazil,Latin America / Caribbean,186139,987,1668,2624,3828,5097,0.53,0.90,1.41,2.06,2.74
CHL,Chile,Latin America / Caribbean,11043,27,35,43,55,55,0.24,0.32,0.39,0.50,0.50
COL,Colombia,Latin America / Caribbean,35595,165,302,444,651,827,0.46,0.85,1.25,1.83,2.32
CRI,Costa Rica,Latin America / Caribbean,3098,4,6,13,20,32,0.13,0.19,0.42,0.65,1.03
CUB,Cuba,Latin America / Caribbean,9297,37,75,110,190,288,0.40,0.81,1.18,2.04,3.10
DOM,Dominican Republic,Latin America / Caribbean,4999,17,36,57,78,102,0.34,0.72,1.14,1.56,2.04
ECU,Ecuador,Latin America / Caribbean,9978,116,201,318,477,627,1.16,2.01,3.19,4.78,6.28
SLV,El Salvador,Latin America / Caribbean,3331,8,10,12,15,21,0.24,0.30,0.36,0.45,0.63
GUF,French Guiana,Latin America / Caribbean,348,27,30,34,47,68,7.76,8.62,9.77,13.51,19.54
GTM,Guatemala,Latin America / Caribbean,3761,2,5,11,15,21,0.05,0.13,0.29,0.40,0.56
GUY,Guyana,Latin America / Caribbean,559,56,129,214,292,332,10.02,23.08,38.28,52.24,59.39
HTI,Haiti,Latin America / Caribbean,458,3,5,8,9,13,0.66,1.09,1.75,1.97,2.84
HND,Honduras,Latin America / Caribbean,3065,1,6,8,13,24,0.03,0.20,0.26,0.42,0.78
JAM,Jamaica,Latin America / Caribbean,2599,10,19,42,70,101,0.38,0.73,1.62,2.69,3.89
